カット番号,セクション,,台本（ナレーション）,,,,NanoBanana プロンプト1,NanoBanana プロンプト2
1,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"２０２６年１月から、YouTubeで異常な事態が起きています。
朝起きてXを開いたら、タイムラインが「収益化停止された」の報告で埋め尽くされていたんですよね。
日本だけじゃなくて、世界中から同時に報告が上がっていました。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
2,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"「YouTube 収益化停止」がXのトレンド入りするほどの規模です。
その後、複数の有名チャンネルの収益化停止が、Yahoo!ニュース（オタク総研）等のメディアでも次々と報じられて、もはやYouTuber界隈だけの話じゃなくなりました。
> 📸 【News1_ニュース報道_オタク総研.png】",,,,"A stylish screen capture overlay showing ""News1_ニュース報道_オタク総研.png"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""News1_ニュース報道_オタク総研.png"", UI mockup, cinematic lighting, depth of field, 8k resolution"
3,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,> 📸 【News2_ニュース詳細_オタク総研.png】,,,,"A stylish screen capture overlay showing ""News2_ニュース詳細_オタク総研.png"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""News2_ニュース詳細_オタク総研.png"", UI mockup, cinematic lighting, depth of field, 8k resolution"
4,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"だけどこれ、実はさりげなく予告されていたんですね。
2025年の7月に、YouTubeは「繰り返しの多いコンテンツ」というポリシーを「量産型コンテンツ」に名称変更しているんです。
つまり、YouTubeは半年以上前から、この大掃除をやるつもりだったということです。",,,,"Futuristic artificial intelligence core, glowing blue nodes, digital network, cyberpunk aesthetic, 8k","Endless rows of identical robots, assembly line, digital grid background, cinematic lighting, high tech"
5,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"そしてここから、段階的に進んでいまして。
第1波が1月7日。雑学・ランキング・ゆっくり・要約系が「信頼できないコンテンツ」で大量停止。1日あたり50から100チャンネル規模で止まっていると言われています。
第2波が1月28日。関連チャンネルまで巻き込まれ始め、登録者10万〜30万規模の大手チャンネルもぞくぞく停止。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
6,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"第3波が2月5日。被害がさらに拡大。
第4波が2月18日。AI系チャンネルの収益化停止が開始。
もう地獄絵図です。",,,,"Dark cinematic atmosphere, red neon lights, shadow contrast, dramatic lighting, warning sign, 8k","Ominous digital background, glitch effect, red and black color palette, high tension, cinematic photography"
7,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,> 📸 【T1 レジギガスの直訴ツイート — 171万インプレッション】,,,,"A stylish screen capture overlay showing ""T1 レジギガスの直訴ツイート — 171万インプレッション"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T1 レジギガスの直訴ツイート — 171万インプレッション"", UI mockup, cinematic lighting, depth of field, 8k resolution"
8,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"Xではもう阿鼻叫喚の状態です。
たとえばこの方。いいね4,797、インプレッション171万もの反響があった投稿ですが、
@TeamYouTubeにこう訴えています。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
9,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"「再審査も行いましたが、『量産型コンテンツ』と判断され、現在も収益化が停止されたままです。本チャンネルは一本一本、内容・構成を考えて制作しており、AI等で量産的に複製できるコンテンツではありません」
> 📸 【T2 ペンギンの2000万消失ツイート — 13.8万インプレッション】",,,,"A stylish screen capture overlay showing ""T2 ペンギンの2000万消失ツイート — 13.8万インプレッション"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T2 ペンギンの2000万消失ツイート — 13.8万インプレッション"", UI mockup, cinematic lighting, depth of field, 8k resolution"
10,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"こちらの方はもっと衝撃的です。
「2,000万消し飛びました。去年だけで2,000万収益化してるチャンネルだったのでガチで萎えました。実質消し飛んだと言ってもいい」
2,000万ですよ。一瞬で消え飛ぶ。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
11,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,> 📸 【SS2 セシチャンネルの直訴】,,,,"A stylish screen capture overlay showing ""SS2 セシチャンネルの直訴"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""SS2 セシチャンネルの直訴"", UI mockup, cinematic lighting, depth of field, 8k resolution"
12,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"別の方も、@TeamYouTubeに直接訴えています。
「全て内容が違い、手作業の動画で全くの誤りです。迅速な収益化の復旧をお願い致します」
> 📸 【SS4 大総源知の再審査却下 — 1,608いいね】",,,,"A stylish screen capture overlay showing ""SS4 大総源知の再審査却下 — 1,608いいね"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""SS4 大総源知の再審査却下 — 1,608いいね"", UI mockup, cinematic lighting, depth of field, 8k resolution"
13,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"この方は再審査請求すら却下されています。
「オリジナルのイラスト、台本を使用し、編集にも拘っています。再審査請求の判定に誤りがあると思われます」
いいねが1,608。つまり、同じ境遇の人がそれだけいるということです。",,,,"Professional video editing workspace, glowing monitors, timeline interface, dark room, neon lighting, 8k","Creative technology concept, glowing UI elements, precise measurement tools, futuristic studio, cinematic"
14,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"こんにちは、SUYAです。
今回は、この「YouTube収益化停止騒動」について、何が起きているのか、なぜ起きているのか、そしてこれからどうすればいいのか。この3つを、できるだけ冷静に整理していきたいと思います。
結論から言うと、今回の収益化停止で主にやられているのは、いわゆる「非属人チャンネル」と呼ばれるタイプのYouTubeチャンネルです。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
15,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"非属人チャンネルって何かというと、簡単に言えば「運営者の顔や声を出さずに運営するチャンネル」のことですね。
たとえば、ゆっくり解説。霊夢と魔理沙のキャラクターが会話しながら解説する、あのスタイルです。
それから、雑学ランキング系。「知らないと損する○○10選」みたいなやつですね。画像をスライドさせながら、合成音声がナレーションしていく。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
16,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"2chまとめ系、掲示板の書き込みをスクロールしながら読み上げていくもの。
あとは漫画動画、要約チャンネル、切り抜きチャンネル。
で、ここ大事なんですけど、非属人チャンネルって別に悪いことをやっているわけじゃないんですよ。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
17,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"会社員の方で、職業上どうしても顔出しできない人っていますよね。公務員の方とか、副業禁止の会社にいる方とか。家族のことを考えるとプライバシー的に顔を出したくないって方もいる。
そういう方にとって、顔を出さず、匿名のまま、自分の好きなことや得意なことを発信して、それが仕事になる。これってめちゃくちゃ素晴らしいことじゃないですか。
しかも、視聴者だってちゃんと楽しんでるんですよね。ゆっくり解説で歴史を学んだり、雑学ランキングで「へぇー」ってなったり、漫画動画で泣いたり笑ったり。再生数が何百万回も回るのは、それだけ多くの人が「面白い」「ためになる」って思ってるからですよ。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
18,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"つまり、非属人チャンネルというスタイル自体には、何の問題もない。クリエイターにとっても視聴者にとっても、価値のある表現方法なんです。
ただ、このスタイルには構造的な特徴がありまして。
運営者の顔は出ない。声も合成音声やVOICEVOX。台本はテンプレートに沿って作る。画像素材はフリー素材やスクリーンショット。つまり、チャンネルの見た目が「この人だから見る」ではなく、「このジャンルの情報が欲しいから見る」という構造になっている。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
19,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"結果として何が起きたかというと、参入者が爆発的に増えたんです。
顔出し不要だから副業でもできる。声出し不要だから外注もしやすい。テンプレートがあれば、極端な話、動画制作の経験がなくても参入できる。
実際、「非属人YouTubeで月○万円」みたいな情報商材やコンサルもかなり出回っていましたよね。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
20,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"で、まさにそういったチャンネルが、画像をスライドさせていくタイプの動画を中心に、YouTubeから一斉に排除され始めているんです。
そんな背景で、 • テンプレで量産されている • 読み上げ・切り貼りに見える • 作り手の判断や思考が見えない
みたいなチャンネルが、 土俵から降ろされている",,,,"Futuristic artificial intelligence core, glowing blue nodes, digital network, cyberpunk aesthetic, 8k","Endless rows of identical robots, assembly line, digital grid background, cinematic lighting, high tech"
21,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"みたいな話がにぎわっています。
とはいえ・・・実際のところ非属人チャンネルやってる人からすれば、
• テンプレで量産されている →テンプレで量産してがっつり再生回る動画あるんだったらこっちが知りてえわ・・・。",,,,"Futuristic artificial intelligence core, glowing blue nodes, digital network, cyberpunk aesthetic, 8k","Endless rows of identical robots, assembly line, digital grid background, cinematic lighting, high tech"
22,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"• 読み上げ・切り貼りに見える →VOICEBOXやYMM4のほうが聞き取りやすいのに何が悪いの？
• 作り手の判断や思考が見えない →視聴者が喜ぶものを作っているだけなのに、なぜ運営者がわざわざ我を出さなきゃいけないの？
みたいな感じで、",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
23,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"今回収益化停止を食らった人の大部分が
ちゃんとやっていたのに、何が悪いの？ むしろ、 • 毎日投稿していた • 再生数も回っていた • ルールを守っているつもりだった のに！
って感じだと思います。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
24,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"もしかしたら、この動画を見ている方の中にも、非属人チャンネルを運営しているよって方もいらっしゃるかもしれません。
私がやっている動画編集スクールでも、非属人チャンネルをやっていらっしゃる方がたくさんいます。
今日は、そういった非属人チャンネルを運営している方が、今後どうしていけばいいのか。何が本当の原因で、どこをどう変えれば生き残れるのか。そこまでしっかり掘り下げてお話ししていきます。",,,,"Professional video editing workspace, glowing monitors, timeline interface, dark room, neon lighting, 8k","Creative technology concept, glowing UI elements, precise measurement tools, futuristic studio, cinematic"
25,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"ただ、ここからが本当に怖い話でして。
これ、地味に大事なんですけど、知っていますか？
もしあなたのチャンネルが1つでもポリシー違反と判定された瞬間、同じアドセンスに紐づいている全チャンネルの収益が、完全に停止されます。",,,,"Dark cinematic atmosphere, red neon lights, shadow contrast, dramatic lighting, warning sign, 8k","Ominous digital background, glitch effect, red and black color palette, high tension, cinematic photography"
